project,revision,firtbug,countabove50,countabovezero,countissues
384274,AMQ-1678,2,2,655
384390,AMQ-643,0,1,10
384419,AMQ-3021,2,2,1930
384454,AMQ-1177,2,6,366
384492,AMQ-1026,3,3,285
384569,AMQ-643,0,0,8
384603,AMQ-643,0,0,8
384738,AMQ-1293,2,2,447
384826,AMQ-643,0,1,7
384853,AMQ-835,1,13,152
385561,AMQ-695,0,1,34
385575,AMQ-889,0,11,195
385577,AMQ-643,0,0,7
385794,AMQ-3275,0,13,2146
385826,AMQ-643,0,1,7
385861,AMQ-487,0,0,0
386076,AMQ-3517,10,10,2375
386100,AMQ-639,0,0,2
386132,AMQ-802,6,6,128
386198,AMQ-1293,0,7,447
386199,AMQ-1510,2,21,536
386272,AMQ-1308,4,4,457
386382,AMQ-2078,0,0,928
386506,AMQ-1342,1,1,467
386603,AMQ-1029,12,12,280
386608,AMQ-1810,13,13,728
386654,AMQ-1147,1,1,345
386670,AMQ-734,1,1,43
386738,AMQ-487,0,0,0
387470,AMQ-1112,0,5,329
387531,AMQ-2349,12,12,1135
387559,AMQ-2571,12,12,1418
387563,AMQ-1276,2,2,421
387566,AMQ-793,1,5,113
387570,AMQ-724,0,0,39
387586,AMQ-676,0,0,13
387665,AMQ-876,0,5,179
387908,AMQ-845,1,1,150
388082,AMQ-1438,1,1,490
388202,AMQ-4531,0,5,3343
388677,AMQ-676,0,0,9
388714,AMQ-677,1,3,11
389018,AMQ-1134,0,0,334
389021,AMQ-2571,0,0,1413
389258,AMQ-845,1,1,146
389334,AMQ-1147,0,0,338
389482,AMQ-1261,1,2,402
389519,AMQ-749,0,3,55
389536,AMQ-793,0,1,105
389554,AMQ-749,0,0,55
389614,AMQ-845,1,7,143
389632,AMQ-2764,1,1,1676
389757,AMQ-2728,0,0,1639
389893,AMQ-845,0,0,141
389941,AMQ-676,0,1,2
390041,AMQ-1080,9,9,308
390149,AMQ-4595,9,9,3409
390164,AMQ-1489,0,0,513
390369,AMQ-802,5,5,110
390470,AMQ-1106,1,13,312
390998,AMQ-1026,3,3,263
391052,AMQ-1356,0,0,464
391053,AMQ-676,0,0,0
391694,AMQ-1632,2,2,574
391821,AMQ-841,4,4,138
392288,AMQ-802,0,7,106
392434,AMQ-876,1,1,165
392556,AMQ-765,0,0,69
392623,AMQ-695,2,2,10
392904,AMQ-695,1,1,8
392992,AMQ-2691,1,1,1595
393024,AMQ-933,3,3,211
393048,AMQ-695,1,1,7
393265,AMQ-1886,0,0,738
393294,AMQ-1031,1,18,257
393383,AMQ-895,1,1,171
393495,AMQ-1093,9,9,299
393912,AMQ-911,0,25,191
393913,AMQ-911,4,4,191
394050,AMQ-1172,1,22,335
394707,AMQ-889,1,5,167
394710,AMQ-1323,5,5,434
395597,AMQ-845,0,0,131
395640,AMQ-793,0,1,92
395670,AMQ-3590,0,0,2426
395689,AMQ-845,0,0,130
395810,AMQ-726,0,0,17
396583,AMQ-876,1,1,156
396892,AMQ-4246,11,11,3083
396897,AMQ-1955,0,0,804
397149,AMQ-2948,0,0,1843
397168,AMQ-2349,2,2,1110
397198,AMQ-889,2,7,163
397209,AMQ-1899,0,0,740
397237,AMQ-1898,0,0,740
397249,AMQ-1323,0,15,430
397589,AMQ-726,0,0,14
397613,AMQ-889,1,12,163
