project,revision,firtbug,countabove50,countabovezero,countissues
1000617,AMQ-3827,1,1,808
1002604,AMQ-2950,0,0,0
1004411,AMQ-3278,1,2,272
1004603,AMQ-2983,1,1,17
1005033,AMQ-3021,0,0,46
1005794,AMQ-2950,0,0,0
1005806,AMQ-3162,12,12,145
1021747,AMQ-2985,1,1,5
1022071,AMQ-3094,0,0,90
1022475,AMQ-2464,0,0,0
1022890,AMQ-2695,0,0,0
1023704,AMQ-2695,0,0,0
1023795,AMQ-4512,1,1,1441
1025939,AMQ-2980,0,0,0
1026254,AMQ-3672,1,29,609
1026457,AMQ-2870,0,0,0
1026543,AMQ-2870,0,0,0
1027644,AMQ-2985,0,0,0
1028637,AMQ-3301,2,2,244
1030013,AMQ-2584,0,0,0
1030490,AMQ-3675,0,29,592
1030888,AMQ-3674,5,5,591
1030928,AMQ-2980,0,0,0
1031761,AMQ-2349,0,0,0
1032539,AMQ-3012,0,0,0
1032658,AMQ-3022,0,0,0
1033076,AMQ-2980,0,0,0
1033581,AMQ-2985,0,0,0
1033607,AMQ-4062,12,12,961
1034032,AMQ-3222,1,1,157
1034466,AMQ-2985,0,0,0
1035202,AMQ-1870,0,0,0
1036524,AMQ-2985,0,0,0
1038036,AMQ-3049,0,0,0
1038276,AMQ-2695,0,0,0
1039108,AMQ-3872,4,17,736
1040151,AMQ-3149,0,0,57
1044368,AMQ-3149,0,1,52
1045219,AMQ-3167,0,3,58
1049184,AMQ-3214,1,4,114
1049521,AMQ-3513,4,4,393
1049527,AMQ-3451,3,19,325
1052259,AMQ-3094,0,0,0
1053641,AMQ-3731,3,34,578
1053942,AMQ-1780,0,0,0
1055873,AMQ-3120,0,0,0
1057565,AMQ-3685,3,57,521
1058577,AMQ-3513,1,40,363
1061299,AMQ-3294,1,11,139
1061365,AMQ-3879,15,15,692
1061859,AMQ-3167,0,1,8
1064660,AMQ-3805,2,47,610
1064725,AMQ-3123,0,0,0
1065688,AMQ-3465,2,2,284
1068935,AMQ-4683,0,5,1447
1069339,AMQ-3294,1,16,120
1069405,AMQ-4126,0,503,925
1070484,AMQ-3422,7,7,231
1070876,AMQ-3797,0,0,580
1071109,AMQ-4683,1,1,1435
1071259,AMQ-1780,0,0,0
1072620,AMQ-3447,0,0,246
1073453,AMQ-3288,0,3,101
1074209,AMQ-3684,0,0,469
1074577,AMQ-3785,0,0,554
1075346,AMQ-3193,0,0,0
1075846,AMQ-3193,0,0,0
1075864,AMQ-3193,0,0,0
1076278,AMQ-3805,0,8,569
1076651,AMQ-3220,0,0,22
1077886,AMQ-3312,0,6,91
1078048,AMQ-3294,0,7,82
1078799,AMQ-3804,5,35,557
1079831,AMQ-2240,0,0,0
1081502,AMQ-3276,0,8,52
1081540,AMQ-4397,1,2,1185
1082333,AMQ-3222,0,0,0
1084023,AMQ-2524,0,0,0
1084175,AMQ-3294,0,4,51
1084533,AMQ-3273,0,1,29
1084550,AMQ-3872,0,17,585
1085337,AMQ-4517,7,7,1215
1086182,AMQ-3649,0,14,377
1086219,AMQ-4249,2,2,1003
1087251,AMQ-2464,0,0,0
1087330,AMQ-3312,0,5,33
1087912,AMQ-2524,0,0,0
1088955,AMQ-4249,1,1,990
1089772,AMQ-3301,0,0,17
1090179,AMQ-4249,1,1,985
1091862,AMQ-3749,1,2,431
1094495,AMQ-3504,1,1,202
1095352,AMQ-1870,0,0,0
1095376,AMQ-3289,0,0,0
1100208,AMQ-3357,0,5,37
1100959,AMQ-3998,4,4,658
1102018,AMQ-3316,0,0,0
1104075,AMQ-3434,1,1,109
1124299,AMQ-4000,0,42,645
1125454,AMQ-2349,0,0,0
1126702,AMQ-3504,0,0,174
1127543,AMQ-3434,1,2,103
1127549,AMQ-3775,4,4,419
1128072,AMQ-3672,1,14,325
1130607,AMQ-1902,0,0,0
1133180,AMQ-3672,0,11,307
1133915,AMQ-4076,0,10,709
1135649,AMQ-3532,0,13,181
1138442,AMQ-3374,0,0,0
1138443,AMQ-3374,0,0,0
1138925,AMQ-3532,2,2,176
1140770,AMQ-3694,2,9,310
1140872,AMQ-3289,0,0,0
1142005,AMQ-1902,0,0,0
1142245,AMQ-4181,20,20,792
1142267,AMQ-3457,0,0,77
1143080,AMQ-3294,0,0,0
1144340,AMQ-3872,1,1,458
1145092,AMQ-3405,0,0,17
1145217,AMQ-3023,0,0,0
1145312,AMQ-3157,0,0,0
1145534,AMQ-3819,1,6,422
1145577,AMQ-3451,3,3,53
1146636,AMQ-3996,0,3,568
1147073,AMQ-3791,0,3,367
1148289,AMQ-3353,0,0,0
1148300,AMQ-4246,38,38,848
1149095,AMQ-3404,0,0,0
1150630,AMQ-3451,1,2,33
1152757,AMQ-3157,0,0,0
1153420,AMQ-3768,0,14,308
1153425,AMQ-4512,0,0,1048
1153588,AMQ-3014,0,0,0
1154162,AMQ-3807,0,5,356
1155437,AMQ-3459,0,0,13
1157238,AMQ-3294,0,0,0
1159090,AMQ-3459,0,0,0
1160894,AMQ-4276,8,8,848
1162059,AMQ-3780,2,2,281
1163940,AMQ-3497,1,1,12
1167582,AMQ-3481,0,0,0
1169514,AMQ-3488,0,0,0
1170201,AMQ-3515,0,4,28
1170474,AMQ-3836,3,13,336
1170523,AMQ-3481,0,0,0
1170624,AMQ-3294,0,0,0
1170849,AMQ-3768,0,0,246
1171743,AMQ-3775,16,16,248
1173188,AMQ-3804,20,20,280
1176393,AMQ-3465,0,0,0
1176580,AMQ-4555,0,8,1005
1177088,AMQ-3517,0,0,0
1177345,AMQ-3517,0,0,0
