project,revision,numberofbugs,days
ActiveMQ,397149,2,732
ActiveMQ,397198,3,1305
ActiveMQ,397209,1,0
ActiveMQ,397237,2,202
ActiveMQ,397589,3,1965
ActiveMQ,397613,4,961
ActiveMQ,397774,11,1865
ActiveMQ,397915,2,0
ActiveMQ,397941,1,0
ActiveMQ,397985,2,1937
ActiveMQ,398015,1,0
ActiveMQ,398928,1,0
ActiveMQ,399298,1,0
ActiveMQ,399701,1,0
ActiveMQ,405807,1,0
ActiveMQ,407816,2,451
ActiveMQ,409297,1,0
ActiveMQ,409300,2,17
ActiveMQ,409303,1,0
ActiveMQ,409322,4,873
ActiveMQ,409742,5,1961
ActiveMQ,410119,2,16
ActiveMQ,410123,2,40
ActiveMQ,412110,1,0
ActiveMQ,412933,1,0
ActiveMQ,412950,1,0
ActiveMQ,413679,2,1920
ActiveMQ,413680,1,0
ActiveMQ,415300,2,607
ActiveMQ,415306,3,46
ActiveMQ,416542,2,709
ActiveMQ,417734,1,0
ActiveMQ,418119,1,0
ActiveMQ,418162,1,0
ActiveMQ,418164,1,0
ActiveMQ,418285,3,502
ActiveMQ,418306,2,140
ActiveMQ,418495,3,478
ActiveMQ,418548,2,2426
ActiveMQ,418550,14,2578
ActiveMQ,418592,2,61
ActiveMQ,418600,1,0
ActiveMQ,418602,3,1668
ActiveMQ,418617,1,0
ActiveMQ,419024,1,0
ActiveMQ,419629,3,1439
ActiveMQ,419752,1,0
ActiveMQ,419753,1,0
ActiveMQ,420527,1,0
ActiveMQ,420705,3,835
ActiveMQ,420708,2,231
ActiveMQ,420718,1,0
ActiveMQ,420723,4,1961
ActiveMQ,420835,2,1883
ActiveMQ,420872,1,0
ActiveMQ,421811,3,865
ActiveMQ,422978,1,0
ActiveMQ,423919,5,488
ActiveMQ,424040,1,0
ActiveMQ,424328,11,2282
ActiveMQ,424542,1,0
ActiveMQ,424698,2,51
ActiveMQ,426060,7,1813
ActiveMQ,426094,1,0
ActiveMQ,426134,3,278
ActiveMQ,426160,1,0
ActiveMQ,426366,1,0
ActiveMQ,426461,2,356
ActiveMQ,427507,2,61
ActiveMQ,428339,2,1077
ActiveMQ,429765,1,0
ActiveMQ,429787,1,0
ActiveMQ,429995,1,0
ActiveMQ,430034,1,0
ActiveMQ,430351,1,0
ActiveMQ,430485,1,0
ActiveMQ,430716,1,0
ActiveMQ,432221,1,0
ActiveMQ,432224,1,0
ActiveMQ,432517,2,48
ActiveMQ,433244,3,1878
ActiveMQ,433673,19,2372
ActiveMQ,434007,1,0
ActiveMQ,434397,1,0
ActiveMQ,436748,1,0
ActiveMQ,436751,1,0
ActiveMQ,436752,1,0
ActiveMQ,436767,1,0
ActiveMQ,436833,2,1019
ActiveMQ,436835,6,1538
ActiveMQ,436899,5,996
ActiveMQ,438429,2,227
ActiveMQ,438840,2,1878
ActiveMQ,438917,8,1829
ActiveMQ,439111,9,1648
ActiveMQ,439442,1,0
ActiveMQ,439552,12,2088
ActiveMQ,439930,2,315
ActiveMQ,439950,1,0
ActiveMQ,440342,3,315
ActiveMQ,440588,1,0
ActiveMQ,441525,1,0
ActiveMQ,442550,14,2137
ActiveMQ,443267,2,46
ActiveMQ,443271,1,0
ActiveMQ,443423,1,0
ActiveMQ,443425,1,0
ActiveMQ,443430,6,1154
ActiveMQ,447607,4,2065
ActiveMQ,447608,8,1892
ActiveMQ,449654,2,1701
ActiveMQ,450289,1,0
ActiveMQ,450371,1,0
ActiveMQ,453123,6,890
ActiveMQ,453124,1,0
ActiveMQ,453171,1,0
ActiveMQ,453176,1,0
ActiveMQ,453380,1,0
ActiveMQ,453497,2,1721
ActiveMQ,454368,8,1196
ActiveMQ,454471,2,334
ActiveMQ,463646,3,630
ActiveMQ,463679,2,405
ActiveMQ,464110,6,2286
ActiveMQ,464216,1,0
ActiveMQ,464659,1,0
ActiveMQ,465930,1,0
ActiveMQ,465987,1,0
ActiveMQ,467090,3,589
