project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-1681,13,783
ActiveMQ,AMQ-1683,14,459
ActiveMQ,AMQ-1686,3,468
ActiveMQ,AMQ-1687,1,0
ActiveMQ,AMQ-1696,2,406
ActiveMQ,AMQ-1698,1,0
ActiveMQ,AMQ-1701,1,0
ActiveMQ,AMQ-1702,2,32
ActiveMQ,AMQ-1705,1,0
ActiveMQ,AMQ-1706,1,0
ActiveMQ,AMQ-1709,2,568
ActiveMQ,AMQ-1712,1,0
ActiveMQ,AMQ-1714,4,504
ActiveMQ,AMQ-1719,1,0
ActiveMQ,AMQ-1720,5,535
ActiveMQ,AMQ-1727,1,0
ActiveMQ,AMQ-1730,10,629
ActiveMQ,AMQ-1739,1,0
ActiveMQ,AMQ-1742,4,152
ActiveMQ,AMQ-1747,4,546
ActiveMQ,AMQ-1748,18,633
ActiveMQ,AMQ-1749,14,886
ActiveMQ,AMQ-1756,1,0
ActiveMQ,AMQ-1763,4,1299
ActiveMQ,AMQ-1768,4,255
ActiveMQ,AMQ-1771,3,909
ActiveMQ,AMQ-1777,3,610
ActiveMQ,AMQ-1779,9,872
ActiveMQ,AMQ-1780,8,1440
ActiveMQ,AMQ-1781,3,536
ActiveMQ,AMQ-1788,1,0
ActiveMQ,AMQ-1790,1,0
ActiveMQ,AMQ-1795,16,887
ActiveMQ,AMQ-1796,19,895
ActiveMQ,AMQ-1797,6,351
ActiveMQ,AMQ-1799,3,560
ActiveMQ,AMQ-1803,1,0
ActiveMQ,AMQ-1807,14,1139
ActiveMQ,AMQ-1808,5,915
ActiveMQ,AMQ-1810,7,663
ActiveMQ,AMQ-1811,2,6
ActiveMQ,AMQ-1813,1,0
ActiveMQ,AMQ-1814,6,755
ActiveMQ,AMQ-1816,1,0
ActiveMQ,AMQ-1818,3,402
ActiveMQ,AMQ-1819,1,0
ActiveMQ,AMQ-1833,5,983
ActiveMQ,AMQ-1842,46,1064
ActiveMQ,AMQ-1847,4,772
ActiveMQ,AMQ-1848,8,568
ActiveMQ,AMQ-1849,2,382
ActiveMQ,AMQ-1855,9,733
ActiveMQ,AMQ-1856,3,181
ActiveMQ,AMQ-1858,2,58
ActiveMQ,AMQ-1859,3,181
ActiveMQ,AMQ-1860,2,210
ActiveMQ,AMQ-1866,8,621
ActiveMQ,AMQ-1867,2,402
ActiveMQ,AMQ-1870,4,1733
ActiveMQ,AMQ-1872,3,503
ActiveMQ,AMQ-1878,14,979
ActiveMQ,AMQ-1882,2,963
ActiveMQ,AMQ-1885,8,2378
ActiveMQ,AMQ-1886,5,1335
ActiveMQ,AMQ-1889,1,0
ActiveMQ,AMQ-1890,1,0
ActiveMQ,AMQ-1895,4,851
ActiveMQ,AMQ-1898,1,0
ActiveMQ,AMQ-1899,3,1399
ActiveMQ,AMQ-1900,2,64
ActiveMQ,AMQ-1902,10,1841
ActiveMQ,AMQ-1909,28,933
ActiveMQ,AMQ-1911,1,0
ActiveMQ,AMQ-1917,11,378
ActiveMQ,AMQ-1918,17,985
ActiveMQ,AMQ-1923,1,0
ActiveMQ,AMQ-1925,12,1001
ActiveMQ,AMQ-1926,9,489
ActiveMQ,AMQ-1936,1,0
ActiveMQ,AMQ-1938,1,0
ActiveMQ,AMQ-1940,2,18
ActiveMQ,AMQ-1942,4,1894
ActiveMQ,AMQ-1946,4,803
ActiveMQ,AMQ-1947,8,991
ActiveMQ,AMQ-1950,2,13
ActiveMQ,AMQ-1951,9,1017
ActiveMQ,AMQ-1952,1,0
ActiveMQ,AMQ-1953,1,0
ActiveMQ,AMQ-1955,4,599
ActiveMQ,AMQ-1956,1,0
ActiveMQ,AMQ-1957,23,1063
ActiveMQ,AMQ-1962,2,180
ActiveMQ,AMQ-1963,1,0
ActiveMQ,AMQ-1964,1,0
ActiveMQ,AMQ-1965,1,0
ActiveMQ,AMQ-1970,6,1007
ActiveMQ,AMQ-1971,7,720
ActiveMQ,AMQ-1976,6,476
ActiveMQ,AMQ-1977,7,1006
ActiveMQ,AMQ-1979,4,181
ActiveMQ,AMQ-1981,2,533
ActiveMQ,AMQ-1983,3,435
ActiveMQ,AMQ-1989,2,467
ActiveMQ,AMQ-1993,6,1060
ActiveMQ,AMQ-1995,2,192
ActiveMQ,AMQ-1998,1,0
ActiveMQ,AMQ-2002,3,517
ActiveMQ,AMQ-2004,3,421
ActiveMQ,AMQ-2005,10,941
ActiveMQ,AMQ-2015,5,997
ActiveMQ,AMQ-2016,9,1140
ActiveMQ,AMQ-2020,12,1006
ActiveMQ,AMQ-2021,14,2595
ActiveMQ,AMQ-2025,2,0
ActiveMQ,AMQ-2028,5,1091
ActiveMQ,AMQ-2029,3,606
ActiveMQ,AMQ-2030,7,1073
ActiveMQ,AMQ-2032,5,399
ActiveMQ,AMQ-2034,9,1125
ActiveMQ,AMQ-2038,1,0
ActiveMQ,AMQ-2043,3,196
ActiveMQ,AMQ-2044,5,722
ActiveMQ,AMQ-2045,2,607
ActiveMQ,AMQ-2046,1,0
ActiveMQ,AMQ-2047,2,607
ActiveMQ,AMQ-2049,3,862
ActiveMQ,AMQ-2051,1,0
ActiveMQ,AMQ-2052,11,987
ActiveMQ,AMQ-2053,3,516
ActiveMQ,AMQ-2054,1,0
ActiveMQ,AMQ-2069,3,910
ActiveMQ,AMQ-2070,1,0
ActiveMQ,AMQ-2074,4,386
ActiveMQ,AMQ-2075,4,1321
ActiveMQ,AMQ-2078,5,1102
ActiveMQ,AMQ-2079,3,997
ActiveMQ,AMQ-2082,3,1140
ActiveMQ,AMQ-2085,2,469
ActiveMQ,AMQ-2086,10,1218
ActiveMQ,AMQ-2087,16,1146
ActiveMQ,AMQ-2094,4,1029
ActiveMQ,AMQ-2098,13,2271
ActiveMQ,AMQ-2100,2,36
ActiveMQ,AMQ-2102,12,1162
ActiveMQ,AMQ-2103,6,1763
ActiveMQ,AMQ-2104,9,1129
ActiveMQ,AMQ-2107,1,0
ActiveMQ,AMQ-2109,4,751
ActiveMQ,AMQ-2111,3,753
ActiveMQ,AMQ-2119,2,2
ActiveMQ,AMQ-2121,1,0
ActiveMQ,AMQ-2123,2,113
ActiveMQ,AMQ-2125,1,0
ActiveMQ,AMQ-2128,15,1140
ActiveMQ,AMQ-2132,3,8
ActiveMQ,AMQ-2133,1,0
ActiveMQ,AMQ-2134,1,0
ActiveMQ,AMQ-2143,3,174
ActiveMQ,AMQ-2144,1,0
ActiveMQ,AMQ-2149,51,1210
ActiveMQ,AMQ-2153,1,0
ActiveMQ,AMQ-2154,2,138
ActiveMQ,AMQ-2166,4,1137
ActiveMQ,AMQ-2171,1,0
ActiveMQ,AMQ-2178,2,225
ActiveMQ,AMQ-2179,2,607
ActiveMQ,AMQ-2182,2,201
ActiveMQ,AMQ-2183,2,1113
ActiveMQ,AMQ-2189,8,17
ActiveMQ,AMQ-2191,4,678
ActiveMQ,AMQ-2192,2,0
ActiveMQ,AMQ-2195,2,663
ActiveMQ,AMQ-2196,13,1336
ActiveMQ,AMQ-2199,5,940
ActiveMQ,AMQ-2209,2,607
ActiveMQ,AMQ-2210,1,0
ActiveMQ,AMQ-2213,3,1894
ActiveMQ,AMQ-2216,2,508
ActiveMQ,AMQ-2220,5,1516
ActiveMQ,AMQ-2232,2,300
ActiveMQ,AMQ-2240,22,1915
ActiveMQ,AMQ-2246,1,0
ActiveMQ,AMQ-2252,1,0
ActiveMQ,AMQ-2253,1,0
ActiveMQ,AMQ-2254,10,1200
ActiveMQ,AMQ-2256,5,768
ActiveMQ,AMQ-2262,6,1259
ActiveMQ,AMQ-2265,3,652
ActiveMQ,AMQ-2277,3,644
ActiveMQ,AMQ-2280,2,740
ActiveMQ,AMQ-2283,4,1073
ActiveMQ,AMQ-2285,2,155
ActiveMQ,AMQ-2291,1,0
ActiveMQ,AMQ-2302,8,1332
ActiveMQ,AMQ-2303,8,702
ActiveMQ,AMQ-2305,1,0
ActiveMQ,AMQ-2306,7,1332
ActiveMQ,AMQ-2308,4,1060
ActiveMQ,AMQ-2310,1,0
ActiveMQ,AMQ-2314,4,800
ActiveMQ,AMQ-2321,1,0
ActiveMQ,AMQ-2322,5,708
ActiveMQ,AMQ-2323,4,1594
ActiveMQ,AMQ-2327,3,1221
ActiveMQ,AMQ-2328,1,0
ActiveMQ,AMQ-2335,1,0
ActiveMQ,AMQ-2346,4,1349
